tweet_id,favourit_count,retweet_count
875021211251597312,24704,4554
874680097055178752,26995,4483
874434818259525634,0,14160
874296783580663808,25272,3974
874057562936811520,22032,3818
874012996292530176,33504,10032
873580283840344065,23503,3801
873337748698140672,0,1535
873213775632977920,7002,1535
872967104147763200,26512,5245
872820683541237760,14293,3590
872620804844003328,20181,3565
872486979161796608,39580,8734
872122724285648897,33449,7888
871879754684805121,36796,10799
871762521631449091,19726,3379
871515927908634625,19642,3350
871166179821445120,0,5526
871102520638267392,20387,5366
871032628920680449,22122,3712
870804317367881728,32773,6028
870726314365509632,118,3
870656317836468226,12088,2581
870374049280663552,80752,25585
870308999962521604,21342,4049
870063196459192321,35766,8132
869772420881756160,41481,9791
869702957897576449,27607,6186
869596645499047938,15619,3064
869227993411051520,19982,3697
868880397819494401,64084,14138
868639477480148993,0,2043
868622495443632128,26172,5178
868552278524837888,9900,2043
867900495410671616,23712,4098
867774946302451713,33275,7207
867421006826221569,15798,2449
867072653475098625,0,119
867051520902168576,31615,7725
866720684873056260,19678,4726
866686824827068416,18928,3411
866450705531457537,120044,34706
866334964761202691,51575,14160
866094527597207552,0,8234
865718153858494464,25188,5531
865359393868664832,26024,4924
865006731092295680,27529,7564
864873206498414592,31753,8592
864279568663928832,14370,2987
864197398364647424,29624,8811
863907417377173506,20310,4072
863553081350529029,15082,4130
863471782782697472,0,2409
863432100342583297,23474,5169
863427515083354112,2211,96
863079547188785154,8651,1091
863062471531167744,8379,2409
862831371563274240,18930,5065
862722525377298433,16846,3487
862457590147678208,20241,4909
862096992088072192,73535,23008
861383897657036800,35693,10614
861288531465048066,16992,4126
861005113778896900,16531,3772
860981674716409858,0,2138
860924035999428608,0,810
860563773140209665,7437,2138
860524505164394496,23376,5254
860276583193509888,18145,3461
860184849394610176,16512,5829
860177593139703809,0,30747
859924526012018688,19394,4063
859851578198683649,15279,3498
859607811541651456,18432,1563
859196978902773760,89132,30139
859074603037188101,33612,13598
858860390427611136,0,8126
858843525470990336,15448,3486
858471635011153920,21372,4835
858107933456039936,15633,2905
857989990357356544,16040,2589
857746408056729600,34094,10663
857393404942143489,5873,1648
857263160327368704,19937,4530
857214891891077121,227,17
857062103051644929,0,170
857029823797047296,18877,4029
856543823941562368,16236,2901
856526610513747968,11822,1894
856330835276025856,0,679
856288084350160898,517,17
856282028240666624,27687,6370
855862651834028034,345,26
855860136149123072,4993,1033
855857698524602368,11859,2131
855851453814013952,45562,17954
855818117272018944,26645,5489
855459453768019968,29933,8301
855245323840757760,0,6037
855138241867124737,0,46
854732716440526848,22910,6184
854482394044301312,29396,6970
854365224396361728,18970,4751
854120357044912130,32154,7594
854010172552949760,16276,3199
853760880890318849,28773,5865
853639147608842240,35051,10316
853299958564483072,15626,3620
852936405516943360,0,2054
852912242202992640,9145,1873
852672615818899456,15064,2197
852553447878664193,16503,3587
852311364735569921,33469,10109
852226086759018497,20212,6951
852189679701164033,11590,1621
851861385021730816,0,22
851591660324737024,16421,3557
851464819735769094,24568,7255
851224888060895234,20938,5862
850753642995093505,31343,9482
850380195714523136,13261,2684
850333567704068097,3496,347
850145622816686080,16571,3922
850019790995546112,20742,5016
849776966551130114,30958,7815
849668094696017920,0,5090
849412302885593088,16134,3236
849336543269576704,11589,1954
849051919805034497,43130,8756
848690551926992896,25629,4446
848324959059550208,25202,4735
848213670039564288,8333,767
848212111729840128,16640,3155
847978865427394560,0,3356
847971574464610304,0,442
847962785489326080,23965,5255
847842811428974592,5559,1371
847617282490613760,7124,434
847606175596138505,19146,3516
847251039262605312,20875,4427
847157206088847362,20337,6044
847116187444137987,21860,3291
846874817362120707,20491,4053
846514051647705089,45574,12001
846505985330044928,14411,3177
846153765933735936,32356,9393
846139713627017216,31593,10282
846042936437604353,16345,2983
845812042753855489,29940,9051
845677943972139009,25733,4943
845397057150107648,7817,1867
845306882940190720,23884,5589
845098359547420673,0,7934
